wavelength_um,resolution_R
0.6902173913043479, 162.73291925465838
0.6920289855072463, 162.73291925465838
0.6956521739130435, 162.73291925465838
0.6992753623188406, 162.73291925465838
0.7028985507246377, 162.73291925465838
0.7065217391304348, 162.11180124223597
0.7119565217391304, 161.4906832298136
0.7173913043478262, 160.86956521739125
0.7228260869565217, 160.2484472049689
0.7282608695652173, 159.00621118012424
0.7336956521739131, 157.76397515527947
0.7391304347826086, 157.1428571428571
0.7427536231884058, 155.9006211180124
0.7463768115942029, 155.27950310559004
0.7518115942028986, 154.03726708074527
0.7572463768115942, 152.79503105590055
0.763586956521739, 151.5527950310559
0.7681159420289856, 150.62111801242236
0.7726449275362319, 149.68944099378876
0.7771739130434783, 148.75776397515529
0.7817028985507246, 147.82608695652175
0.7862318840579711, 146.89440993788827
0.7907608695652174, 145.96273291925473
0.7952898550724639, 145.34161490683238
0.8007246376811594, 144.40993788819895
0.8052536231884058, 143.47826086956536
0.8097826086956521, 142.54658385093188
0.8152173913043479, 141.61490683229823
0.8206521739130435, 140.99378881987593
0.826086956521739, 140.06211180124234
0.8324275362318838, 139.13043478260886
0.8378623188405799, 138.50931677018627
0.8442028985507246, 137.57763975155262
0.8496376811594204, 136.95652173913038
0.855072463768116, 136.33540372670814
0.861413043478261, 135.71428571428584
0.867753623188406, 135.09316770186348
0.8740942028985509, 134.47204968944112
0.8804347826086957, 133.8509316770187
0.8867753623188406, 133.2298136645963
0.8922101449275363, 132.91925465838523
0.8985507246376813, 132.29813664596276
0.9057971014492758, 131.98757763975158
0.9121376811594203, 131.67701863354034
0.9184782608695653, 131.36645962732916
0.9239130434782609, 131.05590062111798
0.9293478260869565, 130.74534161490675
0.9329710144927537, 130.43478260869563
0.9347826086956521, 130.43478260869563
0.9402173913043478, 130.43478260869563
0.9456521739130435, 130.43478260869563
0.9510869565217391, 130.43478260869563
0.9547101449275363, 130.43478260869563
0.9601449275362318, 130.43478260869563
0.9655797101449275, 130.43478260869563
0.9710144927536232, 130.43478260869563
0.9764492753623188, 130.43478260869563
0.9818840579710145, 130.43478260869563
0.9873188405797102, 130.43478260869563
0.9945652173913043, 130.43478260869563
1.0009057971014492, 130.43478260869563
1.0054347826086958, 130.43478260869563
1.0108695652173911, 130.43478260869563
1.0144927536231885, 130.43478260869563
1.019927536231884, 130.43478260869563
1.0271739130434783, 130.43478260869563
1.0326086956521738, 130.74534161490675
1.0380434782608696, 131.05590062111798
1.042572463768116, 131.3664596273291
1.0471014492753623, 131.3664596273291
1.052536231884058, 131.67701863354034
1.0579710144927537, 131.67701863354034
1.0634057971014492, 131.98757763975152
1.068840579710145, 131.98757763975152
1.0742753623188408, 132.2981366459627
1.0797101449275361, 132.60869565217388
1.0842391304347827, 132.9192546583851
1.0896739130434783, 133.2298136645963
1.0951086956521738, 133.54037267080741
1.1014492753623188, 133.85093167701865
1.1068840579710146, 134.16149068322977
1.1123188405797102, 134.472049689441
1.1177536231884058, 134.78260869565213
1.1231884057971016, 135.09316770186336
1.1286231884057971, 135.40372670807454
1.1340579710144927, 135.71428571428572
1.1403985507246377, 136.33540372670808
1.1467391304347827, 136.6459627329192
1.1530797101449275, 136.95652173913038
1.1594202898550725, 137.5776397515528
1.1657608695652173, 137.88819875776403
1.1721014492753623, 138.50931677018633
1.1784420289855073, 138.8198757763975
1.1838768115942029, 139.44099378881992
1.1893115942028984, 139.751552795031
1.1947463768115942, 140.37267080745352
1.1992753623188406, 140.99378881987576
1.2047101449275366, 141.30434782608694
1.210144927536232, 141.61490683229812
1.2155797101449277, 142.23602484472048
1.2219202898550723, 142.23602484472048
1.227355072463768, 143.167701863354
1.2327898550724634, 143.47826086956525
1.23731884057971, 144.09937888198755
1.2427536231884058, 144.7204968944099
1.2481884057971016, 144.7204968944099
1.2527173913043477, 145.65217391304344
1.2581521739130435, 145.96273291925468
1.2635869565217392, 146.8944099378882
1.2699275362318843, 147.2049689440994
1.2753623188405798, 148.13664596273293
1.2807971014492754, 148.75776397515534
1.286231884057971, 149.37888198757776
1.2916666666666665, 149.68944099378888
1.297101449275362, 150.62111801242236
1.302536231884058, 150.9316770186336
1.3079710144927539, 151.5527950310559
1.3134057971014492, 152.48447204968943
1.3188405797101448, 153.10559006211173
1.3242753623188406, 153.72670807453414
1.3297101449275361, 154.03726708074527
1.333333333333333, 154.9689440993788
1.3396739130434783, 155.59006211180133
1.3442028985507246, 156.52173913043487
1.3496376811594206, 156.8322981366461
1.3532608695652175, 157.76397515527947
1.3577898550724639, 158.0745341614907
1.36231884057971, 158.695652173913
1.3668478260869565, 159.62732919254665
1.3731884057971013, 160.24844720496895
1.3786231884057971, 161.1801242236026
1.3840579710144927, 161.4906832298136
1.3876811594202896, 162.42236024844715
1.3931159420289854, 163.04347826086956
1.398550724637681, 163.97515527950316
1.403985507246377, 164.5962732919255
1.4085144927536228, 165.21739130434787
1.4130434782608696, 165.83850931677011
1.4184782608695652, 166.77018633540376
1.4239130434782608, 167.39130434782612
1.4284420289855069, 168.3229813664596
1.4338768115942027, 169.25465838509325
1.4384057971014492, 169.8757763975155
1.4438405797101448, 170.4968944099379
1.4492753623188406, 171.4285714285715
1.4538043478260871, 172.36024844720492
1.4592391304347823, 173.29192546583852
1.4655797101449277, 173.91304347826093
1.471014492753623, 174.8447204968944
1.4764492753623188, 175.77639751552795
1.4818840579710144, 176.70807453416148
1.4882246376811592, 177.63975155279502
1.4945652173913044, 179.19254658385097
1.5, 179.50310559006203
1.5045289855072463, 180.43478260869568
1.509963768115942, 181.36645962732916
